# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCPGE00000030671	GENE_ENSCPGE00000030671	transcript:ENSCPGT00000004906	protein_coding	0	5	5	273	0	0	0	35	209	5	0	0	0	1	0	4	30
ENSCPGE00000031031	GENE_ENSCPGE00000031031	transcript:ENSCPGT00000004920	protein_coding	0	1	4	87	0	0	0	33	36	4	0	0	0	0	0	1	18
ENSCPGE00000031049	GENE_ENSCPGE00000031049	transcript:ENSCPGT00000004924	protein_coding	0	3	0	37	1	0	0	13	17	0	0	0	0	1	0	2	7
ENSCPGE00000031118	GENE_ENSCPGE00000031118	transcript:ENSCPGT00000004936	protein_coding	0	0	0	99	5	0	0	23	42	0	0	0	0	0	0	0	29
ENSCPGE00000031133	GENE_ENSCPGE00000031133	transcript:ENSCPGT00000004941	protein_coding	0	0	7	88	3	0	0	17	32	7	0	0	0	0	0	0	36
ENSCPGE00000031173	GENE_ENSCPGE00000031173	transcript:ENSCPGT00000004949	protein_coding	0	0	6	89	3	0	0	17	33	6	0	0	0	0	0	0	36
ENSCPGE00000031293	GENE_ENSCPGE00000031293	transcript:ENSCPGT00000004966	protein_coding	0	3	0	129	0	0	0	22	74	0	0	0	0	0	0	3	33
ENSCPGE00000031293	GENE_ENSCPGE00000031293	transcript:ENSCPGT00000004969	protein_coding	0	3	0	129	0	0	0	22	74	0	0	0	0	0	0	3	33
ENSCPGE00000031387	GENE_ENSCPGE00000031387	transcript:ENSCPGT00000004982	protein_coding	0	2	2	637	1	0	0	16	594	2	0	0	0	1	0	1	27
ENSCPGE00000031387	GENE_ENSCPGE00000031387	transcript:ENSCPGT00000004986	protein_coding	0	2	2	637	1	0	0	16	594	2	0	0	0	1	0	1	27
ENSCPGE00000032514	GENE_ENSCPGE00000032514	transcript:ENSCPGT00000005177	protein_coding	0	7	4	287	0	0	0	16	251	4	0	0	0	3	0	5	22
ENSCPGE00000032705	GENE_ENSCPGE00000032705	transcript:ENSCPGT00000005209	protein_coding	0	7	4	287	0	0	0	16	251	4	0	0	0	3	0	5	22
ENSCPGE00000032705	GENE_ENSCPGE00000032705	transcript:ENSCPGT00000005211	protein_coding	0	6	4	288	0	0	0	16	252	4	0	0	0	3	0	4	22
ENSCPGE00000032835	GENE_ENSCPGE00000032835	transcript:ENSCPGT00000005240	protein_coding	0	7	4	263	0	0	1	30	212	4	0	0	0	3	0	5	22
ENSCPGE00000032835	GENE_ENSCPGE00000032835	transcript:ENSCPGT00000005260	protein_coding	0	7	4	263	0	0	1	30	212	4	0	0	0	3	0	5	22
ENSCPGE00000033157	GENE_ENSCPGE00000033157	transcript:ENSCPGT00000005292	protein_coding	0	10	6	487	8	0	2	30	424	6	0	0	0	0	0	10	23
ENSCPGE00000033157	GENE_ENSCPGE00000033157	transcript:ENSCPGT00000005299	protein_coding	0	9	6	322	1	0	2	26	270	6	0	0	0	0	0	9	23
ENSCPGE00000033240	GENE_ENSCPGE00000033240	transcript:ENSCPGT00000005310	protein_coding	0	5	1	39	1	0	2	16	0	1	0	0	0	0	0	5	20
ENSCPGE00000033264	GENE_ENSCPGE00000033264	transcript:ENSCPGT00000005320	protein_coding	0	3	4	66	0	0	4	25	28	4	0	0	0	0	0	3	9
ENSCPGE00000033299	GENE_ENSCPGE00000033299	transcript:ENSCPGT00000005324	protein_coding	0	8	10	1496	5	0	0	45	1416	10	0	0	0	0	0	8	30
ENSCPGE00000033352	GENE_ENSCPGE00000033352	transcript:ENSCPGT00000005330	protein_coding	0	4	5	145	2	0	0	26	70	5	0	0	0	1	0	4	47
ENSCPGE00000034004	GENE_ENSCPGE00000034004	transcript:ENSCPGT00000005445	protein_coding	0	1	3	114	0	0	0	31	73	3	0	0	0	0	0	1	10
ENSCPGE00000034139	GENE_ENSCPGE00000034139	transcript:ENSCPGT00000005461	protein_coding	0	3	4	141	0	0	0	31	75	4	0	0	0	0	0	3	35
ENSCPGE00000034329	GENE_ENSCPGE00000034329	transcript:ENSCPGT00000005483	protein_coding	0	4	10	120	0	0	0	28	66	10	0	0	0	1	0	4	26
ENSCPGE00000034421	GENE_ENSCPGE00000034421	transcript:ENSCPGT00000005496	protein_coding	1	0	0	167	1	0	0	38	95	0	0	0	1	0	0	0	34
ENSCPGE00000034421	GENE_ENSCPGE00000034421	transcript:ENSCPGT00000005508	protein_coding	0	0	0	168	1	0	0	38	95	0	0	0	0	0	0	0	34
ENSCPGE00000034643	GENE_ENSCPGE00000034643	transcript:ENSCPGT00000005522		0	1	0	164	0	0	0	31	86	0	19	0	0	1	0	0	29
ENSCPGE00000034653	GENE_ENSCPGE00000034653	transcript:ENSCPGT00000005525		0	0	0	241	0	0	0	35	175	0	0	0	0	0	0	0	31
ENSCPGE00000034669	GENE_ENSCPGE00000034669	transcript:ENSCPGT00000005527		0	0	0	67	0	0	0	35	1	0	1	0	0	0	0	0	30
ENSCPGE00000034686	GENE_ENSCPGE00000034686	transcript:ENSCPGT00000005533	protein_coding	0	3	2	101	3	0	0	35	31	2	0	0	0	1	0	2	33
ENSCPGE00000034780	GENE_ENSCPGE00000034780	transcript:ENSCPGT00000005562	protein_coding	0	4	2	178	3	0	2	34	104	2	0	0	0	2	0	3	36
ENSCPGE00000034857	GENE_ENSCPGE00000034857	transcript:ENSCPGT00000005584	protein_coding	0	3	3	338	7	0	0	27	287	3	0	0	0	1	0	2	18
ENSCPGE00000034952	GENE_ENSCPGE00000034952	transcript:ENSCPGT00000005603		0	0	0	44	0	0	0	23	0	0	0	0	0	0	0	0	21
ENSCPGE00000034990	GENE_ENSCPGE00000034990	transcript:ENSCPGT00000005614	protein_coding	0	0	0	77	0	0	3	28	15	0	0	0	0	0	0	0	31
ENSCPGE00000035005	GENE_ENSCPGE00000035005	transcript:ENSCPGT00000005619		0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
ENSCPGE00000114349	GENE_ENSCPGE00000114349	transcript:ENSCPGT00000018672	protein_coding	1	5	6	308	0	0	0	17	261	6	0	0	0	1	1	4	31
ENSCPGE00000114349	GENE_ENSCPGE00000114349	transcript:ENSCPGT00000018692	protein_coding	1	5	6	308	0	0	0	17	261	6	0	0	0	1	1	4	31
ENSCPGE00000114349	GENE_ENSCPGE00000114349	transcript:ENSCPGT00000018715	protein_coding	1	5	6	308	0	0	0	17	261	6	0	0	0	1	1	4	31
ENSCPGE00000114349	GENE_ENSCPGE00000114349	transcript:ENSCPGT00000018730	protein_coding	0	4	6	310	0	0	0	17	263	6	0	0	0	1	0	3	31
ENSCPGE00000114779	GENE_ENSCPGE00000114779	transcript:ENSCPGT00000018748	protein_coding	1	5	6	296	0	0	0	11	255	6	0	0	0	1	1	4	31
ENSCPGE00000114928	GENE_ENSCPGE00000114928	transcript:ENSCPGT00000018771		0	0	0	95	0	0	0	19	54	0	3	0	0	0	0	0	19
ENSCPGE00000114961	GENE_ENSCPGE00000114961	transcript:ENSCPGT00000018779	protein_coding	0	0	2	354	3	0	0	20	316	2	0	0	0	0	0	0	15
ENSCPGE00000115021	GENE_ENSCPGE00000115021	transcript:ENSCPGT00000018785	protein_coding	0	0	2	212	3	0	2	20	168	2	0	0	0	0	0	0	19
ENSCPGE00000115083	GENE_ENSCPGE00000115083	transcript:ENSCPGT00000018797	protein_coding	0	0	2	168	3	0	0	20	109	2	0	0	0	0	0	0	36
ENSCPGE00000115174	GENE_ENSCPGE00000115174	transcript:ENSCPGT00000018805	protein_coding	0	0	0	105	7	0	1	25	51	0	0	0	0	0	0	0	21
ENSCPGE00000115542	GENE_ENSCPGE00000115542	transcript:ENSCPGT00000018854	protein_coding	0	1	2	103	0	0	0	28	52	2	0	0	0	0	0	1	23
ENSCPGE00000115542	GENE_ENSCPGE00000115542	transcript:ENSCPGT00000018867	protein_coding	0	1	2	96	0	0	0	28	44	2	0	0	0	0	0	1	24
ENSCPGE00000115622	GENE_ENSCPGE00000115622	transcript:ENSCPGT00000018869	protein_coding	0	3	1	100	0	0	0	27	48	1	0	0	0	1	0	2	26
ENSCPGE00000115784	GENE_ENSCPGE00000115784	transcript:ENSCPGT00000018891	protein_coding	0	6	3	98	4	0	0	18	44	3	0	0	0	2	0	5	33
ENSCPGE00000115867	GENE_ENSCPGE00000115867	transcript:ENSCPGT00000018905		0	0	0	42	0	0	0	18	4	0	3	0	0	0	0	0	17
ENSCPGE00000115900	GENE_ENSCPGE00000115900	transcript:ENSCPGT00000018909		0	0	0	41	0	0	0	18	4	0	2	0	0	0	0	0	17
ENSCPGE00000115927	GENE_ENSCPGE00000115927	transcript:ENSCPGT00000018919	protein_coding	0	1	2	48	0	0	0	18	12	2	0	0	0	1	0	0	19
ENSCPGE00000116010	GENE_ENSCPGE00000116010	transcript:ENSCPGT00000018928	protein_coding	0	0	0	45	0	0	0	17	2	0	0	0	0	0	0	0	26
ENSCPGE00000116090	GENE_ENSCPGE00000116090	transcript:ENSCPGT00000018936	protein_coding	0	3	5	110	3	0	0	30	61	5	0	0	0	1	0	2	17
ENSCPGE00000116196	GENE_ENSCPGE00000116196	transcript:ENSCPGT00000018946	protein_coding	1	3	2	79	1	0	0	19	40	2	0	0	1	1	0	2	21
ENSCPGE00000116249	GENE_ENSCPGE00000116249	transcript:ENSCPGT00000018960	protein_coding	0	5	2	78	5	0	0	23	30	2	0	0	0	1	0	4	21
ENSCPGE00000116971	GENE_ENSCPGE00000116971	transcript:ENSCPGT00000019081	protein_coding	1	11	8	137	0	0	0	30	82	8	0	0	1	5	0	7	30
ENSCPGE00000116971	GENE_ENSCPGE00000116971	transcript:ENSCPGT00000019108	protein_coding	3	9	9	136	0	0	0	30	81	9	0	0	2	5	1	6	30
ENSCPGE00000117619	GENE_ENSCPGE00000117619	transcript:ENSCPGT00000019178	protein_coding	2	17	9	153	0	0	0	30	105	9	0	0	2	1	0	17	20
ENSCPGE00000117619	GENE_ENSCPGE00000117619	transcript:ENSCPGT00000019182	protein_coding	2	17	9	153	0	0	0	30	105	9	0	0	2	1	0	17	20
ENSCPGE00000117830	GENE_ENSCPGE00000117830	transcript:ENSCPGT00000019215	protein_coding	0	2	0	139	1	0	4	21	73	0	0	0	0	0	0	2	40
ENSCPGE00000117830	GENE_ENSCPGE00000117830	transcript:ENSCPGT00000019219	protein_coding	0	2	0	138	1	0	0	21	73	0	0	0	0	0	0	2	43
ENSCPGE00000118020	GENE_ENSCPGE00000118020	transcript:ENSCPGT00000019243	protein_coding	0	3	1	98	0	0	4	21	50	1	0	0	0	0	0	3	23
ENSCPGE00000118141	GENE_ENSCPGE00000118141	transcript:ENSCPGT00000019266	protein_coding	0	3	1	203	0	0	2	28	134	1	0	0	0	0	0	3	39
ENSCPGE00000118141	GENE_ENSCPGE00000118141	transcript:ENSCPGT00000019270	protein_coding	0	2	1	179	0	0	1	28	126	1	0	0	0	0	0	2	24
ENSCPGE00000118446	GENE_ENSCPGE00000118446	transcript:ENSCPGT00000019319	protein_coding	0	0	1	138	7	0	1	30	71	1	0	0	0	0	0	0	29
ENSCPGE00000118708	GENE_ENSCPGE00000118708	transcript:ENSCPGT00000019423	protein_coding	1	1	4	91	0	0	0	21	56	4	0	0	0	0	1	1	14
ENSCPGE00000118987	GENE_ENSCPGE00000118987	transcript:ENSCPGT00000019437	protein_coding	1	1	4	77	0	0	0	21	45	4	0	0	0	0	1	1	11
ENSCPGE00000119259	GENE_ENSCPGE00000119259	transcript:ENSCPGT00000019469	protein_coding	0	4	4	207	14	0	1	20	139	4	0	0	0	0	0	4	33
ENSCPGE00000119272	GENE_ENSCPGE00000119272	transcript:ENSCPGT00000019474	protein_coding	0	0	0	72	2	0	1	39	5	0	0	0	0	0	0	0	25
ENSCPGE00000119314	GENE_ENSCPGE00000119314	transcript:ENSCPGT00000019485	protein_coding	0	2	0	95	7	0	0	22	35	0	0	0	0	0	0	2	31
ENSCPGE00000119357	GENE_ENSCPGE00000119357	transcript:ENSCPGT00000019496	protein_coding	1	1	0	319	6	0	0	23	277	0	0	0	1	0	0	1	14
ENSCPGE00000119378	GENE_ENSCPGE00000119378	transcript:ENSCPGT00000019500		0	1	0	79	0	0	0	15	33	0	2	0	0	1	0	0	30
ENSCPGE00000119509	GENE_ENSCPGE00000119509	transcript:ENSCPGT00000019530	protein_coding	0	2	0	55	0	0	1	28	2	0	0	0	0	0	0	2	24
ENSCPGE00000119758	GENE_ENSCPGE00000119758	transcript:ENSCPGT00000019571	protein_coding	0	1	2	187	0	0	0	19	133	2	0	0	0	0	0	1	35
ENSCPGE00000119879	GENE_ENSCPGE00000119879	transcript:ENSCPGT00000019583	protein_coding	0	1	1	71	6	0	0	31	13	1	0	0	0	0	0	1	21
ENSCPGE00000120378	GENE_ENSCPGE00000120378	transcript:ENSCPGT00000019649	protein_coding	0	7	6	147	0	0	2	30	79	6	0	0	0	0	0	7	36
ENSCPGE00000120461	GENE_ENSCPGE00000120461	transcript:ENSCPGT00000019659	protein_coding	0	5	9	169	0	0	0	41	98	9	0	0	0	1	0	4	31
ENSCPGE00000120522	GENE_ENSCPGE00000120522	transcript:ENSCPGT00000019670		0	0	0	110	0	0	0	48	34	0	2	0	0	0	0	0	26
ENSCPGE00000120599	GENE_ENSCPGE00000120599	transcript:ENSCPGT00000019707	protein_coding	1	4	2	70	0	0	0	18	36	2	0	0	1	0	0	4	17
ENSCPGE00000120806	GENE_ENSCPGE00000120806	transcript:ENSCPGT00000019726	protein_coding	0	0	1	123	0	0	4	9	95	1	0	0	0	0	0	0	15
ENSCPGE00000120806	GENE_ENSCPGE00000120806	transcript:ENSCPGT00000019737	protein_coding	0	0	1	123	0	0	4	9	95	1	0	0	0	0	0	0	15
ENSCPGE00000121004	GENE_ENSCPGE00000121004	transcript:ENSCPGT00000019757	protein_coding	0	0	0	123	0	0	0	18	85	0	0	0	0	0	0	0	20
ENSCPGE00000121087	GENE_ENSCPGE00000121087	transcript:ENSCPGT00000019775	protein_coding	0	0	0	355	0	0	1	20	320	0	0	0	0	0	0	0	14
ENSCPGE00000121131	GENE_ENSCPGE00000121131	transcript:ENSCPGT00000019777		0	0	0	107	0	0	0	11	64	0	0	0	0	0	0	0	32
ENSCPGE00000121184	GENE_ENSCPGE00000121184	transcript:ENSCPGT00000019787	protein_coding	0	2	1	57	0	0	0	17	28	1	0	0	0	1	0	1	13
ENSCPGE00000121218	GENE_ENSCPGE00000121218	transcript:ENSCPGT00000019790		0	1	0	77	0	0	0	18	40	0	3	0	0	1	0	0	17
ENSCPGE00000121224	GENE_ENSCPGE00000121224	transcript:ENSCPGT00000019792		0	0	0	69	0	0	0	17	32	0	0	0	0	0	0	0	20
ENSCPGE00000121232	GENE_ENSCPGE00000121232	transcript:ENSCPGT00000019794		0	0	0	84	0	0	0	27	38	0	3	0	0	0	0	0	16
ENSCPGE00000121277	GENE_ENSCPGE00000121277	transcript:ENSCPGT00000019799		0	0	0	303	0	0	0	16	270	0	4	0	0	0	0	0	13
ENSCPGE00000121277	GENE_ENSCPGE00000121277	transcript:ENSCPGT00000019800		0	0	0	281	0	0	0	16	247	0	5	0	0	0	0	0	13
ENSCPGE00000121283	GENE_ENSCPGE00000121283	transcript:ENSCPGT00000019801		0	0	0	182	0	0	0	11	156	0	2	0	0	0	0	0	13
ENSCPGE00000121330	GENE_ENSCPGE00000121330	transcript:ENSCPGT00000019811		0	0	0	22	0	0	0	10	0	0	0	0	0	0	0	0	12
ENSCPGE00000121363	GENE_ENSCPGE00000121363	transcript:ENSCPGT00000019829	protein_coding	1	9	2	283	14	0	2	36	216	2	0	0	1	3	0	6	19
ENSCPGE00000121596	GENE_ENSCPGE00000121596	transcript:ENSCPGT00000019852	protein_coding	0	2	0	160	0	0	1	37	117	0	0	0	0	0	0	2	5
ENSCPGE00000121623	GENE_ENSCPGE00000121623	transcript:ENSCPGT00000019857	protein_coding	0	2	1	122	0	0	0	26	73	1	0	0	0	1	0	1	24
ENSCPGE00000121682	GENE_ENSCPGE00000121682	transcript:ENSCPGT00000019865	protein_coding	0	2	1	106	0	0	6	6	68	1	0	0	0	1	0	1	27
ENSCPGE00000121766	GENE_ENSCPGE00000121766	transcript:ENSCPGT00000019879	protein_coding	0	4	2	67	1	0	1	30	13	2	0	0	0	1	0	3	23
ENSCPGE00000121813	GENE_ENSCPGE00000121813	transcript:ENSCPGT00000019884	protein_coding	0	6	0	70	1	0	6	25	17	0	0	0	0	0	0	6	21
ENSCPGE00000121816	GENE_ENSCPGE00000121816	transcript:ENSCPGT00000019886		0	0	0	69	0	0	0	20	30	0	7	0	0	0	0	0	12
ENSCPGE00000121816	GENE_ENSCPGE00000121816	transcript:ENSCPGT00000019887		0	0	0	69	0	0	0	20	30	0	7	0	0	0	0	0	12
ENSCPGE00000121828	GENE_ENSCPGE00000121828	transcript:ENSCPGT00000019889		0	0	0	69	0	0	0	31	5	0	0	0	0	0	0	0	33
ENSCPGE00000121845	GENE_ENSCPGE00000121845	transcript:ENSCPGT00000019893	protein_coding	1	0	1	29	0	0	0	12	0	1	0	0	0	0	1	0	17
ENSCPGE00000121897	GENE_ENSCPGE00000121897	transcript:ENSCPGT00000019906	protein_coding	0	3	0	177	1	0	0	23	124	0	0	0	0	1	0	2	30
ENSCPGE00000121897	GENE_ENSCPGE00000121897	transcript:ENSCPGT00000019911	protein_coding	0	3	0	177	1	0	0	23	124	0	0	0	0	1	0	2	30
ENSCPGE00000121971	GENE_ENSCPGE00000121971	transcript:ENSCPGT00000019919	protein_coding	0	1	0	60	0	0	0	23	5	0	0	0	0	1	0	1	32
ENSCPGE00000121991	GENE_ENSCPGE00000121991	transcript:ENSCPGT00000019924		0	2	0	71	0	0	0	30	17	0	1	0	0	2	0	0	25
ENSCPGE00000168604	GENE_ENSCPGE00000168604	transcript:ENSCPGT00000027465	protein_coding	0	3	5	847	0	0	0	37	788	5	0	0	0	2	0	3	22
ENSCPGE00000168692	GENE_ENSCPGE00000168692	transcript:ENSCPGT00000027484	protein_coding	0	3	4	1212	0	0	2	34	1150	4	0	0	0	1	0	3	26
ENSCPGE00000168835	GENE_ENSCPGE00000168835	transcript:ENSCPGT00000027506		0	0	0	54	0	0	0	28	0	0	0	0	0	0	0	0	26
ENSCPGE00000168869	GENE_ENSCPGE00000168869	transcript:ENSCPGT00000027515	protein_coding	0	0	0	55	0	0	0	32	0	0	0	0	0	0	0	0	23
ENSCPGE00000168931	GENE_ENSCPGE00000168931	transcript:ENSCPGT00000027525	protein_coding	0	3	1	684	0	0	0	38	611	1	0	0	0	1	0	2	36
ENSCPGE00000169109	GENE_ENSCPGE00000169109	transcript:ENSCPGT00000027608	protein_coding	1	8	7	470	0	0	0	26	408	7	0	0	0	1	1	7	37
ENSCPGE00000169573	GENE_ENSCPGE00000169573	transcript:ENSCPGT00000027641	protein_coding	0	4	1	458	7	0	0	26	388	1	0	0	0	2	0	2	39
ENSCPGE00000169677	GENE_ENSCPGE00000169677	transcript:ENSCPGT00000027650	protein_coding	0	3	0	157	7	0	2	26	98	0	0	0	0	2	0	1	26
ENSCPGE00000169752	GENE_ENSCPGE00000169752	transcript:ENSCPGT00000027671	protein_coding	0	2	1	82	0	0	0	31	24	1	0	0	0	0	0	2	27
ENSCPGE00000169843	GENE_ENSCPGE00000169843	transcript:ENSCPGT00000027681	protein_coding	0	1	2	203	0	0	0	25	153	2	0	0	0	0	0	1	25
ENSCPGE00000169900	GENE_ENSCPGE00000169900	transcript:ENSCPGT00000027689	protein_coding	0	2	0	1181	9	0	1	53	1095	0	0	0	0	0	0	2	23
ENSCPGE00000169953	GENE_ENSCPGE00000169953	transcript:ENSCPGT00000027700	protein_coding	1	2	0	617	0	0	1	21	575	0	0	0	1	0	0	2	21
ENSCPGE00000170059	GENE_ENSCPGE00000170059	transcript:ENSCPGT00000027717	protein_coding	0	5	4	130	0	0	0	32	65	4	0	0	0	1	0	4	34
ENSCPGE00000170161	GENE_ENSCPGE00000170161	transcript:ENSCPGT00000027728	protein_coding	0	0	1	184	0	0	3	20	139	1	0	0	0	0	0	0	22
ENSCPGE00000170161	GENE_ENSCPGE00000170161	transcript:ENSCPGT00000027733	protein_coding	0	0	3	163	0	0	0	20	123	3	0	0	0	0	0	0	20
ENSCPGE00000170487	GENE_ENSCPGE00000170487	transcript:ENSCPGT00000027759	protein_coding	1	17	4	1444	1	0	0	31	1401	4	0	0	1	5	0	12	17
ENSCPGE00000170487	GENE_ENSCPGE00000170487	transcript:ENSCPGT00000027780	protein_coding	1	17	4	1444	1	0	0	31	1401	4	0	0	1	5	0	12	17
ENSCPGE00000173721	GENE_ENSCPGE00000173721	transcript:ENSCPGT00000028846	protein_coding	1	31	35	580	0	0	0	32	531	35	0	0	1	3	0	29	20
ENSCPGE00000176628	GENE_ENSCPGE00000176628	transcript:ENSCPGT00000028888	protein_coding	1	25	30	542	0	0	0	32	483	30	0	0	1	2	0	23	30
ENSCPGE00000176628	GENE_ENSCPGE00000176628	transcript:ENSCPGT00000028897	protein_coding	1	24	28	545	0	0	0	32	486	28	0	0	1	2	0	22	30
ENSCPGE00000176889	GENE_ENSCPGE00000176889	transcript:ENSCPGT00000028901	protein_coding	1	24	30	543	0	0	0	32	483	30	0	0	1	1	0	23	30
ENSCPGE00000177134	GENE_ENSCPGE00000177134	transcript:ENSCPGT00000028944	protein_coding	0	5	0	3131	0	0	3	18	3091	0	0	0	0	2	0	3	21
ENSCPGE00000177134	GENE_ENSCPGE00000177134	transcript:ENSCPGT00000028960	protein_coding	0	5	0	3131	0	0	3	18	3091	0	0	0	0	2	0	3	21
ENSCPGE00000177427	GENE_ENSCPGE00000177427	transcript:ENSCPGT00000028988	protein_coding	0	5	0	2623	0	0	0	18	2582	0	0	0	0	2	0	3	25
ENSCPGE00000177572	GENE_ENSCPGE00000177572	transcript:ENSCPGT00000029019	protein_coding	0	0	0	319	4	0	1	17	275	0	0	0	0	0	0	0	22
ENSCPGE00000177677	GENE_ENSCPGE00000177677	transcript:ENSCPGT00000029033	protein_coding	0	2	0	354	6	0	0	31	284	0	0	0	0	0	0	2	33
ENSCPGE00000177764	GENE_ENSCPGE00000177764	transcript:ENSCPGT00000029059	protein_coding	0	0	0	114	0	0	0	30	56	0	0	0	0	0	0	0	28
ENSCPGE00000177904	GENE_ENSCPGE00000177904	transcript:ENSCPGT00000029073	protein_coding	0	3	3	99	0	0	0	29	43	3	0	0	0	2	0	3	27
ENSCPGE00000178037	GENE_ENSCPGE00000178037	transcript:ENSCPGT00000029087	protein_coding	0	6	2	339	23	0	4	27	238	2	0	0	0	2	0	4	49
ENSCPGE00000178177	GENE_ENSCPGE00000178177	transcript:ENSCPGT00000029116	protein_coding	0	2	0	99	0	0	1	24	44	0	0	0	0	0	0	2	30
ENSCPGE00000178260	GENE_ENSCPGE00000178260	transcript:ENSCPGT00000029128	protein_coding	0	2	4	101	5	0	0	31	42	4	0	0	0	0	0	2	23
ENSCPGE00000178397	GENE_ENSCPGE00000178397	transcript:ENSCPGT00000029146	protein_coding	0	3	1	284	4	0	1	36	218	1	0	0	0	0	0	3	25
ENSCPGE00000178397	GENE_ENSCPGE00000178397	transcript:ENSCPGT00000029151	protein_coding	0	1	1	115	0	0	1	46	43	1	0	0	0	0	0	1	25
ENSCPGE00000178608	GENE_ENSCPGE00000178608	transcript:ENSCPGT00000029170	protein_coding	0	2	0	121	0	0	0	42	51	0	0	0	0	0	0	2	28
ENSCPGE00000178687	GENE_ENSCPGE00000178687	transcript:ENSCPGT00000029175	protein_coding	0	4	1	100	6	0	0	14	50	1	0	0	0	1	0	3	31
ENSCPGE00000178740	GENE_ENSCPGE00000178740	transcript:ENSCPGT00000029183		0	0	0	49	0	0	0	31	0	0	0	0	0	0	0	0	18
ENSCPGE00000179461	GENE_ENSCPGE00000179461	transcript:ENSCPGT00000029524	protein_coding	0	8	4	1167	0	0	0	21	1107	4	0	0	0	1	0	7	40
ENSCPGE00000179461	GENE_ENSCPGE00000179461	transcript:ENSCPGT00000029533	protein_coding	0	7	3	1169	0	0	0	21	1109	3	0	0	0	1	0	6	40
ENSCPGE00000180910	GENE_ENSCPGE00000180910	transcript:ENSCPGT00000029541	protein_coding	0	9	4	778	0	0	0	21	732	4	0	0	0	1	0	8	26
ENSCPGE00000181014	GENE_ENSCPGE00000181014	transcript:ENSCPGT00000029542	protein_coding	0	10	5	744	0	0	0	20	697	5	0	0	0	1	0	9	28
ENSCPGE00000181044	GENE_ENSCPGE00000181044	transcript:ENSCPGT00000029544		0	1	0	92	0	0	0	30	43	0	5	0	0	1	0	0	15
ENSCPGE00000181079	GENE_ENSCPGE00000181079	transcript:ENSCPGT00000029546	protein_coding	0	7	4	212	1	0	0	35	144	4	0	0	0	2	0	5	34
ENSCPGE00000181119	GENE_ENSCPGE00000181119	transcript:ENSCPGT00000029557	protein_coding	0	7	3	130	3	0	1	37	57	3	0	0	0	0	0	7	32
ENSCPGE00000181180	GENE_ENSCPGE00000181180	transcript:ENSCPGT00000029564	protein_coding	0	1	1	121	11	0	1	39	47	1	0	0	0	0	0	1	23
gene:ENSCPGG00000000005	gene:ENSCPGG00000000005	ENSCPGT00000000004	protein_coding	0	0	0	86	0	0	0	18	0	0	0	55	0	0	0	0	13
gene:ENSCPGG00000000005	gene:ENSCPGG00000000005	ENSCPGT00000000005	protein_coding	0	0	0	86	0	0	0	18	0	0	0	55	0	0	0	0	13
gene:ENSCPGG00000000012	gene:ENSCPGG00000000012	ENSCPGT00000000017	protein_coding	0	0	0	93	0	0	0	42	0	0	0	19	0	0	0	0	32
gene:ENSCPGG00000000015	gene:ENSCPGG00000000015	ENSCPGT00000000019	protein_coding	0	0	0	1264	0	0	0	32	0	0	0	1212	0	0	0	0	20
gene:ENSCPGG00000000031	gene:ENSCPGG00000000031	ENSCPGT00000000039	protein_coding	0	0	0	344	0	0	0	27	0	0	0	291	0	0	0	0	26
gene:ENSCPGG00000000031	gene:ENSCPGG00000000031	ENSCPGT00000000048	protein_coding	0	0	0	344	0	0	0	27	0	0	0	291	0	0	0	0	26
gene:ENSCPGG00000000031	gene:ENSCPGG00000000031	ENSCPGT00000000056	protein_coding	0	0	0	326	0	0	0	29	0	0	0	271	0	0	0	0	26
gene:ENSCPGG00000000060	gene:ENSCPGG00000000060	ENSCPGT00000000074	protein_coding	0	0	0	176	0	0	0	54	0	0	0	93	0	0	0	0	29
gene:ENSCPGG00000000070	gene:ENSCPGG00000000070	ENSCPGT00000000094	protein_coding	0	0	0	62	0	0	0	15	0	0	0	27	0	0	0	0	20
gene:ENSCPGG00000000076	gene:ENSCPGG00000000076	ENSCPGT00000000097	protein_coding	0	0	0	111	0	0	0	16	0	0	0	78	0	0	0	0	17
gene:ENSCPGG00000000084	gene:ENSCPGG00000000084	ENSCPGT00000000116	protein_coding	0	0	0	556	0	0	0	21	0	0	0	507	0	0	0	0	28
gene:ENSCPGG00000000084	gene:ENSCPGG00000000084	ENSCPGT00000000140	protein_coding	0	0	0	664	0	0	0	32	0	0	0	619	0	0	0	0	13
gene:ENSCPGG00000000084	gene:ENSCPGG00000000084	ENSCPGT00000000167	protein_coding	0	0	0	508	0	0	0	21	0	0	0	474	0	0	0	0	13
